Job #, goURL, Reason, Destination
10101, learn_ps_processraw_es, Automation/Batch Processing, http://av.adobe.com/russellbrown/ImageProcessorSM.mov
10101, learn_ps_viewglyphsai_es, Type, http://av.adobe.com/russellbrown/OpenTypeSM.mov
10101, learn_ps_cs5_gsindex_es, Getting Started and tutorials link on homepage, http://www.adobe.com
10101, ps_cs5_plugins_mac_es, Download page for optional plug-ins, http://www.adobe.com
10101, ps_cs5_plugins_win_es, Download page for optional plug-ins, http://www.adobe.com
